currency,impact_EUR_crisis,impact_COVID,impact_Ukraine_war,clean_model_r2,clean_residual_std
XAU,0.876,18.41,19.265,1.242920937419806e-06,0.07999054439070315
ZWL,1.334,16.271,27.436,6.615519528046462e-08,0.0007420288798915383
LYD,0.187,2.927,0.158,0.05043249644889586,0.013099643670281779
SRD,0.267,2.637,2.432,0.0016241385678369986,0.007167377074166266
STN,,2.467,1.355,0.08572873915455455,0.004676073301485319
HTG,0.219,2.43,1.589,0.15789849033442505,0.007400728883708012
MRU,,2.352,0.747,0.18218686544426804,0.0020894152269527316
SCR,0.561,2.074,3.081,0.15571910079563603,0.00596174257155557
MMK,6.699,1.937,0.599,0.03870182246466248,0.0027942075027219543
SDG,0.819,1.745,0.942,0.04892922893486178,0.03112049827059175
YER,3.292,1.62,0.229,0.1302744598443027,0.002145956603819096
LKR,2.258,1.611,4.166,0.007199518922120256,0.0015106719944524445
AOA,0.632,1.577,1.539,0.00542510448055831,0.005320059155318355
KGS,0.711,1.49,3.626,2.1870558704853905e-05,0.0027639825402098845
MXN,1.177,1.467,0.909,0.017513827051821865,0.0049907525317794054
GMD,0.612,1.442,2.076,0.1559616572624994,0.01620695314310652
NOK,1.044,1.422,1.608,0.05666717270425871,0.003983031466552879
JMD,0.609,1.413,0.938,0.1168648245597329,0.0031871003413374184
MUR,1.409,1.41,2.359,0.0009590574923319746,0.002180273375762765
CLP,0.901,1.382,2.043,0.06464457328745818,0.0036830326211042467
GYD,0.849,1.366,0.416,0.23207187996277126,0.004670144037580412
BIF,0.495,1.364,1.489,0.007044008376696292,0.1913309991914705
IDR,0.489,1.363,0.994,0.009348715997202283,0.004464458301456234
BRL,0.819,1.357,1.245,0.0847540397631304,0.005559568553645836
COP,0.646,1.335,1.389,0.12593614046144133,0.004571352049696659
LAK,0.701,1.297,19.57,0.10511767492268972,0.0011757076535679634
CZK,1.58,1.283,1.528,0.07364535982752658,0.0033714155999288033
NIO,0.207,1.28,0.88,0.14270732517883117,0.002183027690670552
PEN,0.622,1.243,1.421,6.175837836699614e-05,0.008003584648955845
NGN,0.623,1.238,0.501,0.009961152073079686,0.008246271715615974
ETB,2.042,1.229,0.382,0.006641943565744399,0.0033927220551334017
CVE,1.211,1.226,1.27,0.010171166989672076,0.004541603343170565
ISK,0.908,1.226,1.436,0.05709613387537888,0.0037684759215320554
CNH,0.485,1.202,1.905,0.01066982915484078,0.0023364699041900985
AUD,1.212,1.175,1.33,0.06528199336701247,0.003621421632583088
GBP,0.863,1.174,1.483,0.06396321937883866,0.0033780957301828883
JEP,0.863,1.174,1.483,0.06396321937883866,0.0033780957301828883
IMP,0.863,1.174,1.483,0.06396321937883866,0.0033780957301828883
GGP,0.863,1.174,1.483,0.06396321937883866,0.0033780957301828883
RUB,0.822,1.165,3.237,0.16979148941830854,0.00572505552754399
SYP,0.503,1.163,0.291,0.23854513142624195,0.03462399360143153
TND,1.013,1.142,1.114,0.004844669135924396,0.0032763818603806943
NZD,1.267,1.138,1.234,0.038029101612616446,0.004288795666211882
HUF,1.582,1.13,1.949,0.02958730428464782,0.004312607621904946
SHP,0.857,1.128,1.414,0.013712792647798554,0.0049490506996019284
FKP,0.857,1.128,1.414,0.013712792647798554,0.0049490506996019284
BAM,1.056,1.122,1.479,0.0007262280160927626,0.003906606036338585
ILS,1.207,1.096,1.658,0.04238019020994864,0.0026582632610827306
GIP,1.043,1.094,1.168,0.04719434358501451,0.006008395409272208
KYD,1.574,1.092,0.72,0.19103658332571108,0.0037565877436488183
FJD,1.566,1.089,1.317,0.09091003278250212,0.003987948046676655
DOP,0.987,1.089,1.006,0.22578663063371887,0.004824079412694525
NAD,1.118,1.087,1.084,7.734989683486375e-06,0.008085812018370352
SZL,1.118,1.087,1.084,2.600406695112227e-07,0.008049437194324247
LSL,1.111,1.077,1.074,0.0002938595215358012,0.008113028746672468
PYG,1.687,1.072,0.831,0.09515188201281435,0.004226304198898218
THB,1.325,1.07,1.655,0.0007272467557662909,0.0023825350697258907
PLN,1.526,1.067,1.577,0.03382257255167021,0.004130285806140751
UYU,1.339,1.065,1.159,0.0021815838568192475,0.0035412124163331908
AWG,0.09,1.057,0.909,0.17088359217655633,0.00277159591676356
