,spectral_dir_accuracy,spectral_mcc,spectral_sharpe,granger_dir_accuracy,granger_mcc,granger_sharpe,dir_winner,mcc_winner,sharpe_winner
NPR,0.5912596401028277,0.18557084146370817,3.0585,0.4956162970603404,-0.0068231699327817846,0.1801,spectral,spectral,spectral
PKR,0.5425233644859813,0.08231333840943218,1.5864,0.511943793911007,0.029171228794401656,0.5991,spectral,spectral,spectral
KWD,0.6486847971466786,0.2979065563127639,3.8414,0.5062555853440572,0.015037249400776002,0.1316,spectral,spectral,spectral
DKK,0.8174291938997821,0.634256020716079,9.8274,0.4923547400611621,-0.015444876591130677,-0.4627,spectral,spectral,spectral
TWD,0.38066766317887396,-0.23977251052292603,-1.1541,0.513986013986014,0.03269979699396049,0.8053,granger,granger,granger
HKD,0.6049329294677629,0.20630983958549812,3.049,0.49609713790112747,-0.008135865178690015,-0.7572,spectral,spectral,spectral
SEK,0.8244473342002601,0.6483185594401701,12.1958,0.4965247610773241,-0.007119906701867655,-0.3042,spectral,spectral,spectral
PHP,0.3955669224211424,-0.20770801663196917,-1.9289,0.5252136752136752,0.051553033731631254,0.7413,granger,granger,granger
AFN,0.5,-0.0014280381616321933,-0.252,0.49810844892812106,0.004124332360041973,0.499,spectral,granger,granger
SBD,0.5413223140495868,0.08385840071032982,0.2117,0.5115894039735099,0.02737000056460798,0.0523,spectral,spectral,spectral
TZS,0.4501897533206831,-0.10265495208800234,-1.6124,0.533301617507136,0.06943597285371629,1.5952,granger,granger,granger
DJF,0.5263157894736842,0.05255575596753895,0.4215,0.554089709762533,0.12101450484675252,0.9765,granger,granger,granger
GNF,0.4890190336749634,-0.02193806263656649,-0.4818,0.4626099706744868,-0.07224018396216869,-1.192,spectral,spectral,spectral
SVC,0.47653958944281527,-0.04688984937403189,-0.4237,0.5411764705882353,0.0879110904850338,0.6496,granger,granger,granger
GYD,0.5122399020807834,0.026004637712812095,0.2379,0.4862047823421214,-0.025631332601318845,-0.6208,spectral,spectral,spectral
GMD,0.4941896024464832,-0.01216415410265711,0.1685,0.5269607843137255,0.057991295015199576,1.352,granger,granger,granger
WST,0.6050679851668727,0.21115523044632056,2.2181,0.4956521739130435,-0.007857657661647194,-0.2109,spectral,spectral,spectral
XCD,0.5159663865546219,0.031837237438770774,0.3076,0.5235690235690236,0.04816977897598159,0.6143,granger,granger,granger
LYD,0.5628706998813761,0.12415107390527433,0.1223,0.4524940617577197,-0.09649803631044292,0.0094,spectral,spectral,spectral
BSD,0.49728260869565216,-0.00546448087431694,0.2394,0.43460490463215257,-0.13300574161644532,-0.7213,spectral,spectral,spectral
AWG,0.49390243902439024,-0.01177188259380691,0.001,0.4449877750611247,-0.10574055882526293,-0.0635,spectral,spectral,spectral
DOP,0.4898688915375447,-0.021841666158272825,0.3753,0.46507462686567164,-0.07197879469718481,-0.73,spectral,spectral,spectral
BBD,0.49001663893510816,-0.020353190314661925,0.386,0.45287739783152625,-0.09635269514910928,-0.4027,spectral,spectral,spectral
GHS,0.4855769230769231,-0.022245629575056214,-0.0228,0.48946417820590005,0.0045947075103678695,0.1001,granger,granger,granger
MVR,0.5070052539404554,0.011756470326165173,0.3074,0.47543859649122805,-0.03167830471324921,-0.5817,spectral,spectral,spectral
BZD,0.49001663893510816,-0.020353190314661925,0.3432,0.45287739783152625,-0.09635269514910928,-0.462,spectral,spectral,spectral
GIP,0.6991676575505351,0.3993276216123213,5.4615,0.5461584276354973,0.09550752016285247,0.746,spectral,spectral,spectral
HTG,0.49836494440810986,-0.0028124700616341232,-0.286,0.5288335517693316,0.05943844071425198,0.8569,granger,granger,granger
MZN,0.49727437916414297,-0.0033330554477074364,-0.356,0.5163834951456311,0.038501005168337425,0.1922,granger,granger,granger
CRC,0.45885286783042395,-0.08477400371218502,-1.3818,0.5245,0.05435017155942062,0.405,granger,granger,granger
TTD,0.48533812088569717,-0.030882220153426693,-0.1,0.473621103117506,-0.05367236702238086,-0.4569,spectral,spectral,spectral
BIF,0.47360980207351555,-0.05905830340677473,-2.1089,0.4966949952785647,-0.011704382216417309,0.355,granger,granger,granger
SCR,0.5114409400123686,0.02246300251548648,0.0732,0.5148698884758365,0.030183739543963254,0.9067,granger,granger,granger
MGA,0.5668586052463211,0.13109546589724524,1.3761,0.482360487491982,-0.026142695834710402,-0.0904,spectral,spectral,spectral
JMD,0.4836759371221282,-0.03258193733493124,-0.0012,0.4875832828588734,-0.024766907567795385,-0.3674,granger,granger,spectral
TOP,0.5989010989010989,0.19819120490484465,2.5331,0.49969381506429883,-0.00042025895370243046,0.1586,spectral,spectral,spectral
FJD,0.6756923076923077,0.3520060836472946,5.1481,0.5,0.00037059918051266026,0.2244,spectral,spectral,spectral
JPY,0.2957565366480926,-0.4105834274674635,-5.6998,0.4903308981521272,-0.01615675177685504,-0.5061,granger,granger,granger
SRD,0.45525997581620314,-0.08760899335474746,-0.5267,0.4966686856450636,-0.005899029542090778,-0.0745,granger,granger,granger
THB,0.6624095359727543,0.3276758952983154,7.0362,0.49829351535836175,-0.00048150036427546086,0.0796,spectral,spectral,spectral
MWK,0.539000467071462,0.0773611862006514,2.0328,0.5145131086142322,0.031062898168927485,-0.2339,spectral,spectral,spectral
LAK,0.5255292652552926,0.04579545968481938,0.0671,0.486284289276808,-0.02059515688579227,0.4094,spectral,spectral,granger
HNL,0.4735221674876847,-0.05171401907358314,-0.6233,0.4833538840937115,-0.028376635858772422,0.0138,granger,granger,granger
AUD,0.8220050977060323,0.6431349901140421,11.681,0.5106655290102389,0.026372089932706677,0.1786,spectral,spectral,spectral
CVE,0.7303030303030303,0.4609553408204739,6.8813,0.4957472660996355,-0.008623790441644092,-0.2933,spectral,spectral,spectral
NOK,0.8085197934595525,0.6164918208391654,9.5939,0.4898663216903838,-0.019478970453239017,-0.4595,spectral,spectral,spectral
NIO,0.5242152466367713,0.05397899571240227,0.9752,0.4941599281221923,-0.016708742902384086,0.3162,spectral,spectral,spectral
MOP,0.568738229755179,0.136420455902676,1.4734,0.49340037712130735,-0.01229827060492256,0.0395,spectral,spectral,spectral
ZMW,0.4817483189241114,-0.03012661712651284,-0.6454,0.4793269230769231,-0.02441950384962298,-0.5221,spectral,granger,granger
CLP,0.6273696682464455,0.2551225921694815,3.5269,0.49495548961424335,-0.00676247423520311,0.1767,spectral,spectral,spectral
BTN,0.4259661311333044,-0.14803771861040516,-2.9306,0.5021795989537925,0.004247116887572523,0.1805,granger,granger,granger
AMD,0.501829587036069,0.0037772484612045225,-0.3863,0.5041884816753927,0.006775983258631035,0.0795,granger,granger,granger
SOS,0.5284751990202082,0.05716932390678633,0.693,0.4923265807243708,-0.014778514775790372,-0.3793,spectral,spectral,spectral
INR,0.3944275141488899,-0.21217344092570234,-3.5435,0.5137614678899083,0.030995157384958345,-0.1473,granger,granger,granger
KMF,0.7551266586248492,0.5099873542232782,7.5945,0.496372430471584,-0.005845103588379994,-0.1901,spectral,spectral,spectral
TMT,0.49740932642487046,-0.0053343764437467234,-0.4438,0.48235974551764027,-0.03597629257564687,-0.295,spectral,spectral,granger
PYG,0.5183571873055383,0.03501389154762994,0.6999,0.4740787008119925,-0.050685953706014614,-0.3887,spectral,spectral,spectral
AZN,0.5002901915264074,-0.00012005130398462391,0.2907,0.4802555168408827,-0.03765154928773509,-0.3417,spectral,spectral,spectral
SLL,0.47555555555555556,-0.047218861940378526,-1.2417,0.5074404761904762,0.027505407787542836,0.0554,granger,granger,granger
RWF,0.5174825174825175,0.02747330410395235,0.3709,0.5290262172284644,0.052511086716302134,0.1435,granger,granger,spectral
KYD,0.49279538904899134,-0.014655947692707774,0.5437,0.4728457639391745,-0.0508631235910302,-0.4154,spectral,spectral,spectral
CDF,0.50201126307321,0.005386955381059907,0.405,0.4774193548387097,-0.04165898747008328,-0.1988,spectral,spectral,spectral
COP,0.40497512437810945,-0.18927838075682019,-3.644,0.5022443890274314,0.0030243226456685333,0.0437,granger,granger,granger
BOB,0.5103402268178786,0.0209871772783586,0.3366,0.49498327759197325,-0.008025180640132924,-0.0773,spectral,spectral,spectral
UGX,0.47061545580749653,-0.05976900179252412,-1.9563,0.509530450953045,0.019882334081973874,0.1359,granger,granger,granger
ERN,0.5147058823529411,0.029412273573148944,0.2736,0.4275147928994083,-0.13624741298978266,-1.1756,spectral,spectral,spectral
FKP,0.7121148163782186,0.4237275421754729,7.439,0.4930173508252222,-0.012418732617984256,-0.2594,spectral,spectral,spectral
SHP,0.7121148163782186,0.4237275421754729,7.439,0.4930173508252222,-0.012418732617984256,-0.2594,spectral,spectral,spectral
RUB,0.5751111111111111,0.15061658515812015,1.405,0.49621043245653146,-0.005662908715115127,-0.6855,spectral,spectral,spectral
MMK,0.4806662700773349,-0.04026256764708047,0.3447,0.515531660692951,0.03199686525150477,-0.133,granger,granger,spectral
LKR,0.48752282410225195,-0.023381831764890056,-0.0461,0.50091519219036,0.005067739719241344,-0.026,granger,granger,granger
TJS,0.4869927159209157,-0.025998200313235048,-0.0406,0.49686520376175547,-0.004102004883214401,-0.7263,granger,granger,spectral
PEN,0.3966646813579512,-0.20653190264542104,-2.3222,0.4781829049611476,-0.041250300159938975,-0.7782,granger,granger,granger
GTQ,0.5292667898952557,0.06116218547731494,0.3366,0.47410604192355116,-0.050061227050879155,-0.6602,spectral,spectral,spectral
MDL,0.547767393561786,0.09533220422877384,1.7514,0.5098958333333333,0.023398133804374516,0.5753,spectral,spectral,spectral
CNY,0.6677980483665676,0.3361463097797333,5.9839,0.49744463373083475,-0.0028305056837674117,-0.5551,spectral,spectral,spectral
EUR,0.8247466216216216,0.6496770236730189,9.9423,0.4877222692633362,-0.023333202031202704,-0.4911,spectral,spectral,spectral
MUR,0.5931899641577061,0.18439934260493954,2.3682,0.4829034193161368,-0.026734011421061743,-0.4109,spectral,spectral,spectral
TND,0.6850533807829181,0.37027192282232696,3.6962,0.4836212030970816,-0.03151640786428338,-0.2287,spectral,spectral,spectral
MKD,0.701780415430267,0.40362775578200005,6.3215,0.4985104270109235,-0.0002172780745076054,-0.1455,spectral,spectral,spectral
IQD,0.5049562682215744,0.009434796708202076,0.1079,0.5134345794392523,0.027079274121370744,0.4146,granger,granger,granger
MYR,0.6804835924006909,0.3603644971395564,6.6279,0.5012987012987012,0.0032835910598677086,0.4385,spectral,spectral,spectral
VUV,0.6507552870090635,0.3022369654628215,3.8199,0.495752427184466,-0.008125708741257237,-0.2329,spectral,spectral,spectral
XAU,0.6241787122207622,0.25063546561328515,0.6051,0.49834983498349833,-0.004772071322330175,0.3786,spectral,spectral,spectral
BDT,0.5074349442379182,0.012735304404023227,0.1808,0.4863013698630137,-0.02942422485412932,-0.242,spectral,spectral,spectral
BWP,0.6878276062900408,0.37606257880634614,1.2312,0.4830607476635514,-0.033787851155880164,-0.1802,spectral,spectral,spectral
DZD,0.6629542790152403,0.32510180786438364,2.8232,0.4743967039434962,-0.04701239666462169,-0.1321,spectral,spectral,spectral
BND,0.8024024024024023,0.605107302070768,8.6385,0.49578313253012046,-0.008657287267896845,-0.1893,spectral,spectral,spectral
YER,0.5078023407022106,0.021035325363581554,-0.1459,0.4718954248366013,-0.04487330796233793,-0.6149,spectral,spectral,spectral
CHF,0.7988165680473372,0.5970786869843484,10.1739,0.48748408994484516,-0.024075491519831804,-0.3839,spectral,spectral,spectral
XAF,0.6871980676328503,0.374421179396382,5.4026,0.4957627118644068,-0.008043051251199314,-0.289,spectral,spectral,spectral
BAM,0.764898851831602,0.5298421707379875,8.0635,0.5027412280701754,0.005516335894000324,-0.2181,spectral,spectral,spectral
PAB,0.5158730158730159,0.031782086308186415,0.0201,0.5238095238095238,0.06388765649999399,0.6245,granger,granger,granger
MRU,0.5177713736791547,0.03605122138355942,-0.3193,0.47393822393822393,-0.047926626147118484,-0.4733,spectral,spectral,spectral
PLN,0.7397260273972602,0.4786871599960809,9.1697,0.48936170212765956,-0.021763673399090574,-0.4061,spectral,spectral,spectral
CAD,0.7491379310344828,0.4985016472751734,9.5136,0.5006490696668109,0.002054888271811439,-0.1257,spectral,spectral,spectral
