currency,best_pval,best_lag,pval_corrected,significant,irf_direction,irf_peak_day
SBD,3.5493033145705765e-308,4,5.607899237021511e-306,True,inverse,3.0
HKD,7.150423965949279e-236,5,5.648834933099931e-234,True,aligned,1.0
XCD,3.324762680548542e-234,4,1.7510416784222322e-232,True,aligned,3.0
DJF,1.06432909639502e-208,4,4.204099930760329e-207,True,inverse,3.0
BBD,1.1096860350054307e-191,4,3.506607870617161e-190,True,inverse,3.0
BSD,5.081092180225136e-189,4,1.338020940792619e-187,True,inverse,3.0
AFN,5.904966720559924e-187,4,1.3328353454978113e-185,True,inverse,3.0
TWD,7.086467669103704e-182,6,1.3995773646479817e-180,True,aligned,8.0
CRC,1.0832841934328894e-180,6,1.9017655840266282e-179,True,inverse,1.0
BZD,1.8041626957210733e-180,4,2.8505770592392955e-179,True,inverse,3.0
DOP,1.1409477303512959e-154,4,1.6388158308682252e-153,True,inverse,3.0
GYD,2.8779359818395276e-138,4,3.789282376088711e-137,True,inverse,3.0
GIP,2.285727277456953e-108,5,2.778037767986143e-107,True,inverse,3.0
TTD,1.4911823317650158e-96,4,1.682905774420518e-95,True,inverse,5.0
WST,3.3141401069663645e-80,10,3.4908942460045706e-79,True,aligned,10.0
DKK,2.1145487482369149e-72,6,2.0881168888839535e-71,True,aligned,8.0
PHP,2.1143572015766877e-50,6,1.9651084579359803e-49,True,aligned,8.0
SVC,1.3839006834764856e-45,4,1.2147572666071375e-44,True,inverse,3.0
FJD,2.833122001528158e-45,7,2.3559646117970996e-44,True,aligned,1.0
GHS,1.366438657777182e-39,5,1.0794865396439737e-38,True,aligned,3.0
TZS,5.1613410162332385e-36,7,3.883294669356437e-35,True,aligned,14.0
MKD,3.223069320621404e-35,9,2.3147497848099173e-34,True,aligned,1.0
TOP,4.173223958295125e-32,7,2.866823414828825e-31,True,aligned,1.0
JMD,7.257876266255403e-32,6,4.778101875284806e-31,True,aligned,3.0
BIF,2.8383909633794887e-31,5,1.793863088855837e-30,True,inverse,5.0
GMD,5.920159823299469e-31,4,3.597635584928139e-30,True,inverse,5.0
MGA,4.50222491713627e-29,6,2.634635321879743e-28,True,aligned,5.0
STN,7.327362647825664e-27,6,4.134726065558768e-26,True,aligned,1.0
VUV,1.7767131426021255e-26,9,9.680023328659856e-26,True,aligned,1.0
CHF,2.911929585521573e-25,9,1.533616248374695e-24,True,aligned,1.0
MVR,3.6981485269972277e-25,4,1.8848627976308453e-24,True,aligned,5.0
PKR,1.5987781841856597e-23,5,7.893967284416695e-23,True,aligned,2.0
MZN,5.031845114281798e-23,4,2.409186448656134e-22,True,aligned,3.0
SEK,7.84217468131986e-23,6,3.6443047048486407e-22,True,aligned,7.0
THB,2.354066558986039e-21,5,1.0626929037708405e-20,True,aligned,1.0
JPY,3.197991370023628e-17,6,1.4035628790659257e-16,True,aligned,1.0
MUR,8.440479936082311e-16,9,3.604313053786501e-15,True,aligned,1.0
NOK,1.226224421326673e-15,6,5.0985120676214295e-15,True,aligned,1.0
CNY,2.3885488518160892e-14,9,9.676685091972874e-14,True,inverse,2.0
CVE,5.135722577104843e-13,6,2.028610417956413e-12,True,aligned,3.0
SCR,7.729049991809308e-13,4,2.978511948063099e-12,True,aligned,4.0
XAF,1.940928449268584e-12,6,7.301587975819912e-12,True,aligned,1.0
AUD,2.9099373807660585e-12,10,1.069232805025668e-11,True,inverse,7.0
GNF,8.195507163093074e-11,4,2.9429321176561495e-10,True,aligned,2.0
MWK,1.0192609765664451e-10,5,3.578738539944407e-10,True,inverse,5.0
PAB,1.5067641059959177e-10,10,5.078377166999783e-10,True,aligned,1.0
NPR,1.5106564990442392e-10,7,5.078377166999783e-10,True,aligned,1.0
HTG,5.251751616476692e-10,4,1.728701573756911e-09,True,inverse,5.0
YER,9.851082887786866e-10,10,3.1764716250414794e-09,True,inverse,1.0
STD,1.87803957280554e-09,6,5.934605050065506e-09,True,aligned,1.0
BOB,9.32719449264617e-09,10,2.889601431055088e-08,True,aligned,1.0
NIO,1.3900591618703555e-08,4,4.223641299529157e-08,True,inverse,3.0
DZD,6.581117133365185e-08,10,1.9619179378711307e-07,True,aligned,1.0
KWD,8.894407738555395e-08,5,2.6024378197995413e-07,True,inverse,2.0
INR,1.2592800916859372e-07,8,3.617568263388692e-07,True,aligned,2.0
BND,1.282880595422096e-07,7,3.6195559656551996e-07,True,aligned,1.0
MDL,2.0165013455746684e-07,8,5.589600221066625e-07,True,aligned,5.0
CLP,2.0573247395971117e-07,4,5.604436359592132e-07,True,aligned,3.0
BTN,1.3201887697465184e-06,9,3.53542077321949e-06,True,aligned,2.0
LYD,2.996875783067507e-06,2,7.891772895411102e-06,True,inverse,2.0
COP,5.148228125213542e-06,6,1.3334754816126879e-05,True,aligned,1.0
SRD,8.025440080599317e-06,3,2.0451927947333744e-05,True,inverse,3.0
KMF,1.363079332840007e-05,6,3.418516422043192e-05,True,aligned,1.0
EUR,5.9273004029493156e-05,6,0.00014633022869781122,True,aligned,1.0
LAK,8.539549948304498e-05,6,0.00020757675258955546,True,aligned,1.0
TND,0.00010153865732771918,9,0.00024307739178453986,True,aligned,1.0
RWF,0.00025306236313856894,10,0.0005967739309834909,True,inverse,3.0
PEN,0.00026356997855755135,8,0.0006124125972366634,True,aligned,1.0
KYD,0.0002743578168956481,9,0.0006282396386885855,True,inverse,2.0
AMD,0.00031639138366264653,6,0.000714140551695688,True,aligned,3.0
UGX,0.0003659805540538763,10,0.0008144355991621473,True,aligned,3.0
CAD,0.0005839169205259645,9,0.0012813732422653108,True,aligned,2.0
MMK,0.0007905611338721164,9,0.0017110775226273202,True,aligned,2.0
TMT,0.0013180888232451192,10,0.002814297757739579,True,inverse,10.0
MYR,0.0022366117733292027,6,0.004711795469146854,True,aligned,1.0
BDT,0.002352666320433523,10,0.004891069455638113,True,inverse,1.0
SOS,0.0025453077025278893,6,0.005155879705120596,True,inverse,7.0
LKR,0.002537905315177479,6,0.005155879705120596,True,aligned,1.0
HNL,0.0027677301599244634,2,0.005535460319848927,True,aligned,2.0
TJS,0.0033107014557764362,10,0.006538635375158461,True,inverse,1.0
SHP,0.003578888408553232,6,0.006895906933553789,True,aligned,4.0
FKP,0.003578888408553232,6,0.006895906933553789,True,aligned,4.0
BWP,0.0038605252827799844,7,0.0073489517431233435,True,aligned,2.0
SLL,0.0041744115375725935,4,0.0076692677085636015,True,aligned,2.0
XAU,0.00409667676009974,9,0.0076692677085636015,True,aligned,1.0
IQD,0.004161643396677405,4,0.0076692677085636015,True,inverse,4.0
MRU,0.004486347460954226,10,0.008147619526790432,True,aligned,3.0
MOP,0.005720062483896413,2,0.010270112186995833,True,inverse,2.0
BAM,0.006057109231532117,7,0.010753070321146904,True,aligned,1.0
ZMK,0.011491266507257205,7,0.02017355675718487,True,aligned,1.0
GTQ,0.011946888062251797,1,0.020742948503689934,True,aligned,1.0
ZMW,0.012665450327446339,2,0.02175153425800567,True,aligned,2.0
ERN,0.01497330732742086,10,0.02543852212615587,True,inverse,3.0
RUB,0.015557551399841288,8,0.026149926821009827,True,aligned,3.0
AZN,0.01741816896692074,1,0.028969165229194495,True,inverse,1.0
PLN,0.017618721053171315,7,0.02899747840001112,True,aligned,1.0
PYG,0.018649862470449006,8,0.030378126498257142,True,aligned,1.0
AWG,0.02450812014895293,4,0.03934633860335481,True,aligned,3.0
CDF,0.024653718491975483,3,0.03934633860335481,True,aligned,3.0
ETB,0.03374633346606734,10,0.053319206876386395,False,,
ARS,0.036031571467337806,7,0.056366220711280925,False,,
SGD,0.037884666344058016,3,0.05868409100354085,False,,
IDR,0.045368831325014784,9,0.06959490630439161,False,,
KGS,0.05476835230089581,1,0.08320576599559171,False,,
RSD,0.05903700637550439,8,0.0888366381650447,False,,
BYN,0.0623702813266183,7,0.09296702310948765,False,,
GGP,0.06588473051576599,2,0.09463443110446387,False,,
GBP,0.06588473051576599,2,0.09463443110446387,False,,
IMP,0.06588473051576599,2,0.09463443110446387,False,,
JEP,0.06588473051576599,2,0.09463443110446387,False,,
LBP,0.06932849690363585,2,0.09868380640337356,False,,
MXN,0.07871347374806911,1,0.1110422218945975,False,,
LRD,0.08769454488733652,4,0.12261715125839974,False,,
UYU,0.09538344766465685,3,0.13219811167557705,False,,
VES,0.0999478262275941,2,0.13731962212139015,False,,
NGN,0.1066450837893293,2,0.14525795895443128,False,,
ILS,0.10995791987350835,9,0.14825866708819888,False,,
BRL,0.11260151930749282,10,0.14825866708819888,False,,
HRK,0.1122354987768586,6,0.14825866708819888,False,,
KRW,0.11127458490932987,2,0.14825866708819888,False,,
SDG,0.12056740806450349,2,0.1567030471711048,False,,
ZAR,0.12099855541059992,10,0.1567030471711048,False,,
GEL,0.13263533160793609,6,0.17037709263458456,False,,
BYR,0.15658175033984237,6,0.19951545607818624,False,,
KHR,0.19148560015588698,4,0.24203779859704114,False,,
UAH,0.19489864149202135,1,0.2443967091725347,False,,
NAD,0.2186764638702461,2,0.27205418339762905,False,,
XPF,0.2309303840835956,2,0.2850546928531883,False,,
SZL,0.23807985353505481,2,0.2916016810739431,False,,
TRY,0.24035106565316733,1,0.2921189874861572,False,,
ZWD,0.2593289857019959,3,0.3127784713046974,False,,
HUF,0.27564594529095254,8,0.3299398436058371,False,,
PGK,0.2855144638055005,10,0.3391825960997675,False,,
BGN,0.2938973425956155,6,0.3465356726127407,False,,
LSL,0.29620517770639515,1,0.34666976353785506,False,,
VND,0.3074720077760527,2,0.3572101266810024,False,,
MNT,0.3380319033071586,4,0.3898470125732194,False,,
NZD,0.3442853936992338,9,0.39418182756868797,False,,
AOA,0.3499432984623115,2,0.39525982622387307,False,,
IRR,0.3502302257679888,8,0.39525982622387307,False,,
