currency,dominant_period_days,peak_coherence,phase_lag_days,usd_correlation,direction
NPR,3.5,45.3154,0.13,0.1618,aligned
PKR,3.5,45.0171,-1.7,-0.5603,inverse
KWD,3.5,44.0117,0.04,0.582,aligned
DKK,3.5,43.8713,0.05,0.908,aligned
TWD,3.5,43.6877,-1.7,-0.7302,inverse
HKD,3.5,41.5775,-0.12,0.8779,aligned
SEK,3.5,39.1673,0.0,0.9745,aligned
PHP,3.5,39.0868,-1.53,-0.2594,inverse
AFN,3.5,38.6934,-1.7,-0.0053,inverse
SBD,3.5,38.4039,-1.68,0.0023,aligned
TZS,3.5,37.9358,-1.68,-0.3135,inverse
DJF,3.5,37.8452,-1.71,0.0106,aligned
GNF,3.5,36.6189,1.53,-0.0255,inverse
SVC,3.5,35.0016,-1.7,-0.0021,inverse
GYD,3.5,34.8304,-1.74,0.0271,aligned
GMD,3.5,34.1545,-1.72,0.0005,aligned
WST,3.5,33.8943,-1.64,0.0288,aligned
XCD,3.5,33.4295,-1.74,0.0487,aligned
LYD,3.5,33.4063,0.06,0.0442,aligned
BSD,3.5,32.9963,-1.74,0.0493,aligned
AWG,3.5,32.9895,0.07,0.0009,aligned
DOP,3.5,32.9777,-1.74,0.0383,aligned
BBD,3.5,32.8931,-1.74,0.0495,aligned
GHS,3.5,32.838,0.09,-0.005,inverse
MVR,3.5,32.6491,0.13,0.0012,aligned
BZD,3.5,31.7377,-1.74,0.0516,aligned
GIP,3.5,31.2624,1.74,0.0791,aligned
HTG,3.5,30.0784,1.69,-0.0007,inverse
ARS,3.5,29.9988,1.61,-0.0131,inverse
MZN,3.5,29.8983,0.1,-0.0036,inverse
CRC,3.5,29.5519,0.03,0.5683,aligned
TTD,3.5,29.0043,-1.69,0.0647,aligned
BIF,3.5,28.7509,-1.74,-0.3843,inverse
SCR,3.5,28.5725,-0.04,-0.0009,inverse
MGA,3.5,28.5617,-0.03,0.0007,aligned
LRD,3.5,28.4945,0.07,0.0038,aligned
JMD,2.3,27.7897,-1.12,-0.0709,inverse
TOP,3.5,27.6169,-1.68,0.0132,aligned
FJD,3.5,26.0748,-1.63,0.0407,aligned
JPY,3.5,25.9255,1.69,-0.1919,inverse
SRD,3.5,25.5177,-1.44,-0.0105,inverse
THB,3.5,24.9801,-1.17,0.0128,aligned
SDG,3.5,24.4469,-1.61,-0.0221,inverse
MWK,6.9,24.1129,-3.37,-0.2235,inverse
LAK,3.5,23.6826,0.09,0.0264,aligned
HNL,3.5,23.4633,-1.63,-0.0329,inverse
AUD,3.5,23.3436,1.7,0.0019,aligned
CVE,3.5,23.3175,-1.75,0.0673,aligned
NGN,3.5,22.4396,1.63,-0.0323,inverse
NOK,3.5,22.2711,1.69,0.0085,aligned
