iso3,country,current_efw_score,current_year,policy_volatility,clean_period_score,clean_period_volatility,post_clean_drift,overall_trend,regime_change_count,reform_consistency,classification,data_years,n_vol,n_cons,n_trend,n_reg,stability_score,base_model_r2,post_crisis_deviation,deviation_direction
MDA,Moldova,6.59,2023,0.2285,6.791,0.0891,-0.125,0.0592,2,0.783,volatile_improving,23,0.7900728597449909,1.0,0.6675401244677367,0.8571428571428572,0.8291,0.7573,-0.4225,below
SRB,Serbia,6.56,2023,0.2933,6.781,0.0445,-0.035,0.1279,6,0.783,volatile_improving,23,0.6917122040072861,1.0,0.8925646904683918,0.5714285714285714,0.8224,0.9438,-0.5587,below
MAR,Morocco,6.38,2023,0.1487,6.457,0.0285,0.002,0.0516,2,0.69,stable_reformer,29,0.9112021857923498,0.7223880597014923,0.642646577137242,0.8571428571428572,0.782,0.9592,-0.2891,below
GEO,Georgia,7.69,2023,0.1629,7.779,0.0734,0.089,0.0474,3,0.696,volatile_improving,23,0.8896478445658774,0.7402985074626863,0.6288896167703898,0.7857142857142857,0.7693,0.2009,-0.3216,below
MYS,Malaysia,7.56,2023,0.1971,7.376,0.2099,0.047,0.039,3,0.724,volatile_improving,29,0.8377352762598664,0.8238805970149252,0.6013756960366853,0.7857142857142857,0.7693,0.9825,-0.34,below
IDN,Indonesia,6.96,2023,0.2406,7.001,0.0486,0.017,0.0695,5,0.724,volatile_improving,29,0.7717061323618701,0.8238805970149252,0.7012774320340649,0.6428571428571428,0.7569,0.9181,-0.3924,below
TWN,Taiwan,8.03,2023,0.1919,7.957,0.0335,0.054,0.0662,4,0.69,volatile_improving,29,0.8456284153005464,0.7223880597014923,0.6904683917458238,0.7142857142857143,0.7567,0.9356,-0.2591,below
CHN,China,6.13,2023,0.2384,6.073,0.0387,-0.01,0.0546,4,0.704,volatile_improving,27,0.7750455373406193,0.7641791044776117,0.6524729773992795,0.7142857142857143,0.7351,0.9216,-0.1458,below
KEN,Kenya,6.68,2023,0.2376,6.711,0.0735,-0.019,0.0579,5,0.69,volatile_improving,29,0.7762598664238008,0.7223880597014923,0.6632820176875205,0.6428571428571428,0.7185,0.224,-0.0471,below
MRT,Mauritania,6.09,2023,0.1776,5.951,0.1133,-0.014,0.0733,2,0.609,volatile_improving,23,0.8673345476624166,0.48059701492537305,0.7137242056993122,0.8571428571428572,0.7119,0.8906,-0.3923,below
CZE,Czechia,7.61,2023,0.1613,7.931,0.0521,-0.039,0.0305,1,0.625,volatile_improving,24,0.8920765027322405,0.5283582089552238,0.5735342286275794,0.9285714285714286,0.707,0.2315,-0.3325,below
IRL,Ireland,8.05,2023,0.2,8.176,0.1002,0.035,0.0297,2,0.655,volatile_improving,29,0.8333333333333334,0.6179104477611941,0.5709138552243694,0.8571428571428572,0.7055,0.0422,-0.1963,below
SGP,Singapore,8.5,2023,0.1408,8.713,0.054,0.021,0.0219,3,0.621,stable_reformer,29,0.9231936854887675,0.5164179104477611,0.5453652145430724,0.7857142857142857,0.693,0.4817,-0.3695,below
MNE,Montenegro,7.16,2023,0.2743,7.236,0.2983,-0.07,0.1078,7,0.652,volatile_improving,23,0.7205525197328476,0.608955223880597,0.8267278087127415,0.5,0.6916,0.0027,0.0025,above
ALB,Albania,7.56,2023,0.2793,7.644,0.0739,-0.031,0.0761,4,0.654,volatile_improving,26,0.712962962962963,0.6149253731343284,0.722895512610547,0.7142857142857143,0.6862,0.6462,-0.2936,below
LTU,Lithuania,7.57,2023,0.2779,7.857,0.0797,-0.057,0.0457,4,0.68,volatile_improving,25,0.7150880388585308,0.6925373134328359,0.6233213232885686,0.7142857142857143,0.6853,0.7295,-0.4728,below
SVK,Slovak Republic,7.33,2023,0.2002,7.556,0.0632,0.015,0.0338,2,0.625,volatile_improving,24,0.833029751062538,0.5283582089552238,0.5843432689158204,0.8571428571428572,0.6819,0.0004,-0.2106,below
NPL,Nepal,6.54,2023,0.2909,6.433,0.0644,0.092,0.0742,4,0.655,volatile_improving,29,0.6953551912568307,0.6179104477611941,0.7166721257779233,0.7142857142857143,0.6793,0.7078,-0.1417,below
NAM,Namibia,6.38,2023,0.1739,6.22,0.0964,0.096,0.0216,2,0.615,volatile_improving,26,0.8729508196721312,0.4985074626865671,0.5443825745168687,0.8571428571428572,0.6769,0.1417,-0.0671,below
BIH,Bosnia and Herzegovina,6.4,2023,0.1848,6.769,0.046,-0.024,0.0318,2,0.609,volatile_improving,23,0.8564055859137827,0.48059701492537305,0.5777923354077956,0.8571428571428572,0.6741,0.858,-0.6369,below
KAZ,Kazakhstan,6.84,2023,0.1605,6.806,0.1189,-0.023,0.051,1,0.565,volatile_improving,23,0.893290831815422,0.34925373134328336,0.6406812970848346,0.9285714285714286,0.6705,0.8053,-0.386,below
